id_ville,Ville,Region,Delai,Tarif
1,CASABLANCA,CASABLANCA,Chaque Jour,20
2,MOHAMMEDIA,CASABLANCA,Chaque Jour,28
3,BOUSKOURA,CASABLANCA,Chaque Jour,28
4,DAR BOUAAZA,CASABLANCA,Chaque Jour,28
5,SIDI REHAL,CASABLANCA,Chaque Jour,28
6,MEDIOUNA,CASABLANCA,Chaque Jour,28
7,HAD SOUALEM,CASABLANCA,Chaque Jour,28
8,TIT MELLIL,CASABLANCA,Chaque Jour,28
9,BOUZNIKA,CASABLANCA,Chaque Jour,28
10,BENSLIMANE,CASABLANCA,Chaque Jour,28
11,DEROUA,CASABLANCA,Chaque Jour,28
12,NOUACEUR,CASABLANCA,Chaque Jour,28
13,BERRECHID,CASABLANCA,Chaque Jour,28
14,VILLE VERT,CASABLANCA,Chaque Jour,28
15,VICTORIA,CASABLANCA,Chaque Jour,28
16,LAKHYAYTA,CASABLANCA,Chaque Jour,28
17,OUED MERZEQ,CASABLANCA,Chaque Jour,28
18,ERRAHMA,CASABLANCA,Chaque Jour,28
19,AIN HAROUDA,CASABLANCA,Chaque Jour,28
20,BENI YAKHLEF,CASABLANCA,Chaque Jour,28
21,MANSSOURIA,CASABLANCA,Chaque Jour,28
22,LAHRAOUINE,CASABLANCA,Chaque Jour,28
23,TAMARIS,CASABLANCA,Chaque Jour,28
24,RABAT,SALE,Chaque Jour,20
25,SALÉ,SALE,Chaque Jour,20
26,SALE EL JADIDA,SALE,Chaque Jour,20
27,TEMARA,SALE,Chaque Jour,25
28,KÉNITRA,SALE,Chaque Jour,30
29,AIN AOUDA,SALE,Chaque Jour,30
30,AIN AATIQ,SALE,Chaque Jour,30
31,HARHOURA,SALE,Chaque Jour,30
32,SKHIRAT,SALE,Chaque Jour,30
33,TAMESNA,SALE,Chaque Jour,30
34,SIDI BOUKNADEL,SALE,Chaque Jour,25
35,MEHDIA,SALE,Chaque Jour,30
36,MERS LKHIR,SALE,Chaque Jour,30
37,SIDI TAYBI,SALE,Chaque Jour,30
38,SIDI YAHYA ZAIR,SALE,Chaque Jour,30
39,MARRAKECH,MARRAKECH,Chaque Jour,20
40,TAMASLOUHT,MARRAKECH,24H,35
41,TAHANAOUT,MARRAKECH,24H,35
42,OURIKA,MARRAKECH,12H-24H,30
43,AIT OURIR,MARRAKECH,Mardi / Jeudi / Samedi,35
44,TAMANSSOURT,MARRAKECH,Chaque Jour,30
45,OUDAYA,MARRAKECH,12H-24H,35
46,SOUIHLA,MARRAKECH,Lundi / Mercredi / Samedi,30
47,EL KELAA DES SRAGHNAS,MARRAKECH,24H,35
48,EL AATTAOUIA,MARRAKECH,Mercredi / Samedi,40
49,BENGUERIR,MARRAKECH,24H,35
50,CHICHAOUA,MARRAKECH,24H,35
51,TAMELLALT,MARRAKECH,Mercredi / Samedi,35
52,IMINTANOUT,MARRAKECH,24H-48H,40
53,SIDI MOUSSA,MARRAKECH,Lundi / Mercredi / Samedi,30
54,HBICHAT,MARRAKECH,Lundi / Mercredi / Samedi,30
55,CHOUITER,MARRAKECH,12H-24H,30
56,SIDI LMOKHTAR,MARRAKECH,24H-48H,40
57,MZOUDA,MARRAKECH,24H-48H,40
58,TASSELTANT / DOUAR LHANA / LAGOUSSIM,MARRAKECH,Chaque Jour,30
59,ELWIDANE,MARRAKECH,Chaque Jour,30
60,NIMRO JEMAA,MARRAKECH,Chaque Jour,30
61,BERAHMOUNE,MARRAKECH,Chaque Jour,30
62,BELAAGUID,MARRAKECH,Chaque Jour,30
63,ECHRIFA,MARRAKECH,Chaque Jour,30
64,EL AFAQ,MARRAKECH,Chaque Jour,30
65,AIN MEZOUAR,MARRAKECH,,20
66,MEJJAT,MARRAKECH,,30
67,SKHOUR RHAMNA,MARRAKECH,,30
68,CHEMAIA,MARRAKECH,,33
69,JEMAAT GHEMAT,MARRAKECH,,
70,SIDI ABDELAH GHEYAT,MARRAKECH,,
71,MEJAAT,MARRAKECH,,30
72,OUAEGUI,MARRAKECH,,
73,AMEZMIZ,MARRAKECH,,
74,SIDI BOU OTHMANE,MARRAKECH,,
75,AGADIR,AGADIR,Chaque Jour,20
76,AIT MELLOUL,AGADIR,Chaque Jour,20
77,INZEGANE,AGADIR,Chaque Jour,20
78,SIDI BIBI,AGADIR,Chaque Jour,30
79,TINMENSOUR,AGADIR,Chaque Jour,30
80,DCHIRA,AGADIR,Chaque Jour,20
81,TAROUDANTE,AGADIR,Chaque Jour,35
82,TIZNIT,AGADIR,Chaque Jour,35
83,CHTOUKA AIT BAHA(BIOUGRA),AGADIR,Chaque Jour,30
84,HOUARA (OULAD TAIMA),AGADIR,Chaque Jour,30
85,KHMISS AIT AAMIRA,AGADIR,Chaque Jour,30
86,BELFAA,AGADIR,Chaque Jour,30
87,MASSA,AGADIR,Chaque Jour,35
88,LKLIAA,AGADIR,Chaque Jour,30
89,AZROU (AIT MELLOUL),AGADIR,Chaque Jour,30
90,TEMSIA,AGADIR,Chaque Jour,30
91,SEBT LGERDANE,AGADIR,Chaque Jour,35
92,ANZA,AGADIR,Chaque Jour,30
93,AOURIR,AGADIR,Chaque Jour,30
94,TAGHAZOUT,AGADIR,Chaque Jour,30
95,IMIOUDAR,AGADIR,Chaque Jour,30
96,,AGADIR,,
97,OULAD BERRHIL,AGADIR,Chaque Jour,35
98,AWLOUZ,AGADIR,24H,35
99,TALIWINE,AGADIR,24H,35
100,BOUNAENANE,AGADIR,24H,
101,SIDI IFNI,AGADIR,24H,35
102,TAFRAOUT,AGADIR,24H,35
103,MIRLEFT,AGADIR,24H,35
104,AIT AZZA,AGADIR,Chaque Jour,35
105,IKHERANE,AGADIR,Chaque Jour,
106,TADEXARET,AGADIR,Chaque Jour,
107,KHENAFIF,AGADIR,Chaque Jour,
108,LHAJEB(tikiwine),AGADIR,Chaque Jour,
109,TATA CENTRE,AGADIR,Chaque Jour,35
110,TISSINT,AGADIR,Chaque Jour,35
111,TAGMOUT,AGADIR,Chaque Jour,35
112,AKKA,AGADIR,Chaque Jour,35
113,FOUM ZGUIDE,AGADIR,Chaque Jour,35
114,ISSAFEN,AGADIR,Chaque Jour,35
115,FUM LHISN,AGADIR,Chaque Jour,35
116,FOM ZGID,AGADIR,Chaque Jour,35
117,TANGER,TETOUAN,Chaque Jour,30
118,ASILAH,TETOUAN,24H,40
119,DALIA,TETOUAN,Chaque Jour,35
120,KSAR SGHIR,TETOUAN,24H,40
121,BELYOUNECH,TETOUAN,Chaque Jour,DHs
122,TÉTOUAN,TETOUAN,Chaque Jour,20
123,MARTIL,TETOUAN,Chaque Jour,25
124,MDIQ,TETOUAN,Chaque Jour,30
125,KAA ASRAS,TETOUAN,Chaque Jour,40
126,FNIDEQ,TETOUAN,Chaque Jour,35
127,AMSSA,TETOUAN,Chaque Jour,40
128,STEHAT,TETOUAN,Chaque Jour,40
129,EL JEBEHA,TETOUAN,Chaque Jour,40
130,OUED LAOU,TETOUAN,Chaque Jour,40
131,LARACHE,TETOUAN,Chaque Jour,35
132,KSAR LKBIR,TETOUAN,Chaque Jour,35
133,KHEMIS SAHEL,TETOUAN,Chaque Jour,35
134,LAAOUAMERA,TETOUAN,Chaque Jour,35
135,CHEFCHAOUNE,TETOUAN,Chaque Jour,35
136,BAB TAZA,TETOUAN,Chaque Jour,35
137,BENI AHMED,TETOUAN,Chaque Jour,35
138,BAB BERRED,TETOUAN,Chaque Jour,35
139,OUAZZANE,TETOUAN,24H,40
140,ZOUMI,TETOUAN,24H,40
141,OUNNANA,TETOUAN,24H,40
142,BRIKCHA,TETOUAN,24H,40
143,AIN DORIJ,TETOUAN,24H,40
144,JORF EL MELHA,TETOUAN,,40
145,MACHRAA BELKSSIRI,TETOUAN,24H,40
146,SOUK LARBAA LGHARB,TETOUAN,Mardi / Jeudi / Samedi,40
147,KHNICHAT,TETOUAN,Mercredi / Dimanche,45
148,SIDI YAHYA LGHARB,TETOUAN,Mardi / Jeudi / Samedi,40
149,LALA MIMOUNA,TETOUAN,Mercredi / Dimanche,45
150,MOULAY BOUSELHAM,TETOUAN,Mercredi / Dimanche,45
151,CAPO NEGRO ,TETOUAN,,30
152,KHMISS SAHIL,TETOUAN,Jeudi / Dimanche,DHs
153,HOUARA,TETOUAN,,
154,DAR LKEDDARI,TETOUAN,,
155,HAD KOURT,TETOUAN,,
156,STIHAT ,TETOUAN,,
157,OUJDA,OUJDA,Chaque Jour,20
158,BNI DRAR,OUJDA,MARDI-JEUDI-SAMEDI,30
159,BNI WKIL,OUJDA,Chaque Jour,30
160,BERKANE,OUJDA,Chaque Jour,30
161,AKLIM,OUJDA,lundi-JEUDI-SAMEDI,30
162,MADAGH,OUJDA,LUNDI_MERCREDI_VENDREDI,30
163,REGADA,OUJDA,MARDI_JEUDI_SAMEDI,30
164,NADOR,OUJDA,Chaque Jour,30
165,DRIOUCH,OUJDA,LUNDI_MERCREDI_JEUDI- VENDREDI,30
166,ZAIO,OUJDA,MERCREDI_SAMEDI,30
167,EL AAROUI,OUJDA,JOUR+1,30
168,BNI NSAR,OUJDA,MARDI_JEUDI_SAMEDI,30
169,SELOUANE,OUJDA,JOUR+1,30
170,ZGANGANE,OUJDA,LUNDI_MERCREDI_VENDREDI,30
171,JAADAR,OUJDA,LUNDI_MERCREDI_VENDREDI,30
172,MIDAR,OUJDA,LUNDI_MERCREDI_JEUDI- VENDREDI,30
173,BNTYEB,OUJDA,LUNDI_MERCREDI_VENDREDI,30
174,FERKHANA,OUJDA,SAMEDI,30
175,BOUARG,OUJDA,MARDI-VENDREDI,30
176,ARKMAN,OUJDA,MARDI-VENDREDI,30
177,TAFRSIT,OUJDA,LUNDI_MERCREDI_JEUDI- VENDREDI,30
178,TEZTOUTIN,OUJDA,SAMEDI,30
179,DAR LKABDANI,OUJDA,LUNDI,30
180,TAOUIMA,OUJDA,Chaque Jour,30
181,IHDADEN,OUJDA,Chaque Jour,30
182,KASSITA,OUJDA,LUNDI-MERCREDI-JEUDI- VENDREDI,30
183,TAMSAMAN,OUJDA,VENDREDI,30
184,CRONA,OUJDA,VENDREDI,30
185,BOUDINAR,OUJDA,VENDREDI,30
186,WLAD STOUT,OUJDA,LUNDI,30
187,ANWAL,OUJDA,JEUDI,30
188,AMZAROU,OUJDA,JEUDI,30
189,MARIWARI,OUJDA,SAMEDI,30
190,TAZA,OUJDA,Chaque Jour,30
191,TAHLA,OUJDA,JOURS+1,30
192,BOUHLOU,OUJDA,JOURS+1,30
193,OUED AMLIL,OUJDA,JOURS+1,30
194,MERZOUKA,OUJDA,JOURS+1,30
195,AKNOUL,OUJDA,JOURS+1,30
196,TIZI OUSLI,OUJDA,JOURS+1,30
197,BOURD,OUJDA,JOURS+1,30
198,AJDIR (TAZA),OUJDA,JOURS+1,30
199,AJDIR (TAZA),OUJDA,JOURS+1,30
200,AIN HAMRA,OUJDA,JOURS+1,30
201,HED OULAD ZBIR,OUJDA,JOURS+1,30
202,KALDMAN,OUJDA,JOURS+1,30
203,HOCEIMA,OUJDA,Chaque Jour,30
204,IMZOUREN,OUJDA,Chaque Jour,30
205,ISSAGEN,OUJDA,JEUDI-DIMANCHE,30
206,TARGIST,OUJDA,MARDI-MERCREDI-JEUDI-SAMEDI,30
207,IZMOUREN,OUJDA,Chaque Jour,30
208,TALA YOUSSEF,OUJDA,Chaque Jour,30
209,SOUANI,OUJDA,Chaque Jour,30
210,HICHEM AZGHAR,OUJDA,Chaque Jour,30
211,AJDIR,OUJDA,Chaque Jour,30
212,BNI BOUAYACH,OUJDA,Chaque Jour,30
213,BOUKIDAN,OUJDA,Chaque Jour,30
214,AIT KAMRA,OUJDA,Chaque Jour,30
215,GUERCIF,OUJDA,Chaque Jour,30
216,TAOURIRT,OUJDA,Chaque Jour,30
217,DEBDOU,OUJDA,MERCREDI,30
218,BOUARFA,OUJDA,MARDI-JEUDI-SAMEDI,30
219,FIGUIG,OUJDA,LUNDI Jusqu’à VENDREDI,30
220,TENDRARA,OUJDA,LUNDI JUSQU’ VENDREDI,30
221,JERADA,OUJDA,JOURS +1,30
222,AIN BNI MATHAR /BERGEM,OUJDA,LUNDI Jusqu’à VENDREDI,30
223,SAIDIA,OUJDA,MARDI_JEUDI_SAMEDI,30
224,CAP DE L’EAU,OUJDA,MARDI-JEUD-SAMEDI,30
225,CAFE MAURE,OUJDA,MARDI-JEUDI-SAMEDI,30
226,AHFIR,OUJDA,MARD_JEUDI_SAMEDI,30
227,LAMRIS,OUJDA,MARD_JEUDI_SAMEDI,30
228,LAYOUN SIDI MELLOUK,OUJDA,LUNDI Jusqu’à VENDREDI,30
229,NAIMA,OUJDA,LUNDI Jusqu’à VENDREDI,30
230,CGI,OUJDA,,31
231,BENI TEDJIT,OUJDA,,
232,TINDRARA,OUJDA,,
233,BOUANANE,OUJDA,,30
234,ITZER,OUJDA,,
235,BNI HEDIFA,OUJDA,,
236,SAFI,SAFI,Chaque Jour,25
237,SEBT GZOULA,SAFI,24 H,40
238,JEMAAT SHAIM,SAFI,24 H,40
239,TLAT BOUGUEDRA,SAFI,24 H,40
240,HAD HRARA,SAFI,24 H,40
241,OUALIDIA,SAFI,24 H,40
242,YOUSSOUFIA,SAFI,24 H,40
243,TNIN LGHEYAT,SAFI,24 H,40
244,ESSAOUIRA,SAFI,Chaque Jour,30
245,EL GHAZOUA,SAFI,24 H,40
246,SIDI KAOUKI,SAFI,24 H,40
247,HAD DRA,SAFI,24 H,40
248,OUNAGHA,SAFI,24 H,40
249,TLAT HENCHAN,SAFI,24 H,40
250,TAMANAR,SAFI,24 H,40
251,SMIMOU,SAFI,24 H,40
252,DOUAR LAARAB,SAFI,24 H,40
253,EL JADIDA,SAFI,Chaque Jour,30
254,AZEMMOUR,SAFI,24 H,40
255,MOULAY ABDELLAH,SAFI,24 H,40
256,SIDI SMAIL,SAFI,24 H,40
257,SIDI ABED,SAFI,24 H,40
258,TNIN CHTOUKA,SAFI,24 H,40
259,KHMIS ZMAMRA,SAFI,24 H,40
260,SIDI BENNOUR,SAFI,24 H,40
261,HAD OULAD FRAJ,SAFI,24 H,40
262,SIDI BOUZID,SAFI,24 H,40
263,JORF,SAFI,24 H,40
264,TALMSET,SAFI,,
265,BIRKOUATE,SAFI,,
266,ZAOUIET SIDI SMAIL,SAFI,,
267,LBIR JDID,SAFI,,
268,OULAD GHANEM,SAFI,,
269,SEBT OULAD HSSINE,SAFI,,
270,ESSOUIRIA,SAFI,,
271,MEKNÈS,MEKNÈS,Chaque Jour,25
272,BOUFEKRANE,MEKNÈS,12H-24H,35
273,LHAJEB,MEKNÈS,12H-24H,35
274,IFRANE,MEKNÈS,12H-24H,35
275,AZROU,MEKNÈS,12H-24H,35
276,SIDI SLIMANE,MEKNÈS,12H-24H,35
277,SIDI KASSEM,MEKNÈS,12H-24H MARDI _JEUDI _SAMEDI,35
278,KHEMISSET,MEKNÈS,12H-24H MARDI _JEUDI _SAMEDI,35
279,TIFELT,MEKNÈS,12H-24H,35
280,AIN TAOUJTATE,MEKNÈS,12H-24H,35
281,SEBAÂ AÏYOUN,MEKNÈS,12H-24H,35
282,MOULAY DRISS ZARHOUN,MEKNÈS,12H-24H,35
283,AGOURAI,MEKNÈS,12H-24H,35
284,AIN LOUH,MEKNÈS,,35
285,OUISLLANE,MEKNÈS,Chaque Jour,35
286,BOUDERBALA,MEKNÈS,,35
287,MAAZIZ,MEKNÈS,,
288,OUED ELJADID,MEKNÈS,,
289,AZILAL,BENI MELLAL,24H,40
290,TANANT,BENI MELLAL,MERCREDI / SAMEDI,45
291,FOUM JEMAA,BENI MELLAL,MERCREDI / SAMEDI,45
292,OUAOUIZEGHT,BENI MELLAL,24H,45
293,OUZOUD,BENI MELLAL,48H,45
294,AIT AATAB,BENI MELLAL,24H,45
295,BIN EL OUIDANE,BENI MELLAL,48H,45
296,DEMNAT,BENI MELLAL,MERCREDI / SAMEDI,45
297,BENI MELLAL,BENI MELLAL,24H,20
298,FQIH BEN SALEH,BENI MELLAL,24H,35
299,KASBA TADLA,BENI MELLAL,24H,35
300,SOUK SEBT OULAD NEMMA,BENI MELLAL,24H,35
301,EL KSIBA,BENI MELLAL,48H,45
302,ZAOUIAT CHEIKH,BENI MELLAL,48H,45
303,OULED SAID LOUAD,BENI MELLAL,24H,40
304,SIDI AISSA BEN ALI,BENI MELLAL,24H,40
305,OULAD YOUSSEF,BENI MELLAL,24H,45
306,OULAD ABDELLAH,BENI MELLAL,24H,45
307,EL BAZZAZA,BENI MELLAL,24H,45
308,LAAJANA,BENI MELLAL,24H,45
309,TANOUGHA,BENI MELLAL,48H,40
310,OULAD YAICH,BENI MELLAL,24H,40
311,SOUK EL HAD DES BRADIA,BENI MELLAL,24H,40
312,OULAD ZEMAM,BENI MELLAL,24H,40
313,LAAYAYTA OULAD GNAOU,BENI MELLAL,24H,40
314,DAR OULAD ZIDOUH,BENI MELLAL,48H,40
315,TIMOULILT,BENI MELLAL,24H,40
316,FOUM OUDI,BENI MELLAL,24H,35
317,IGHREM LAALAM,BENI MELLAL,48H,40
318,AMGHILA,BENI MELLAL,24H,35
319,OULAD AYAD SOUK SEBT,BENI MELLAL,24H,45
320,SIDI JABER,BENI MELLAL,24H,40
321,AFOURAR,BENI MELLAL,24H,45
322,BENI AYAT,BENI MELLAL,24H,45
323,FOUM EL ANSER,BENI MELLAL,48H,40
324,TAGZIRT,BENI MELLAL,48H,40
325,FOUM ZAOUIA,BENI MELLAL,48H,40
326,LKHORBA,BENI MELLAL,48H,40
327,FARYATA,BENI MELLAL,48H,40
328,OULED MOUSSA,BENI MELLAL,24H,35
329,RIAD SALAM,BENI MELLAL,24H,35
330,OULAD MRAH,BENI MELLAL,24H,40
331,ADOUZ,BENI MELLAL,48H,48
332,OULAD MBAREK,BENI MELLAL,24H,35
333,ZONE INDUSTRIELLE BENI MELLAL,BENI MELLAL,24H,35
334,ZOUAIR,BENI MELLAL,24H,40
335,ERRACHIDIA,BENI MELLAL,48H,40
336,ARFOUD,BENI MELLAL,TOUTE LA SEMAINE,45
337,TINGHIR,BENI MELLAL,48H,40
338,AOUFOUSS,BENI MELLAL,LUNDI / JEUDI,45
339,RISSANI,BENI MELLAL,MARDI / JEUDI / SAMEDI,45
340,MERZOUGA,BENI MELLAL,LUNDI / MERCREDI / VENDREDI,45
341,GOULMIMA,BENI MELLAL,LUNDI / JEUDI / SAMEDI,45
342,TINJDAD,BENI MELLAL,LUNDI / JEUDI / SAMEDI,45
343,KELAAT MEGOUNA,BENI MELLAL,LUNDI,45
344,BOUMALEN DADES,BENI MELLAL,LUNDI,45
345,ERRICH,BENI MELLAL,LUNDI / JEUDI,45
346,ZAIDA,BENI MELLAL,MERCREDI / SAMEDI,45
347,MISSOUR,BENI MELLAL,MARDI / VENDREDI,45
348,BOULMANE,BENI MELLAL,MERCREDI / SAMEDI,45
349,BOUDNIB,BENI MELLAL,MERCREDI,45
350,BOUMIA,BENI MELLAL,MERCREDI / SAMEDI,45
351,MIDELT,BENI MELLAL,48H,40
352,AGHBALOU,BENI MELLAL,SAMEDI,50
353,KHENIFRA,BENI MELLAL,24H,40
354,OUAOUMANA,BENI MELLAL,MARDI / JEUDI / VENDREDI,45
355,MRIRT,BENI MELLAL,24H,45
356,TIGHSSALINE,BENI MELLAL,24H,45
357,AIT ISHAQ,BENI MELLAL,MARDI / JEUDI / VENDREDI,45
358,AGUELMOUS,BENI MELLAL,24H,45
359,LEKBAB,BENI MELLAL,MARDI / JEUDI / VENDREDI,45
360,EL HRI,BENI MELLAL,MARDI / JEUDI / VENDREDI,45
361,EL BORRJ,BENI MELLAL,24H,45
362,HAD BOUHSSOUSSEN,BENI MELLAL,24H,45
363,KHOURIBGA,BENI MELLAL,24H,30
364,OUED ZEM,BENI MELLAL,24H,35
365,BEJAAD,BENI MELLAL,24H,35
366,BOUJNIBA,BENI MELLAL,24H,35
367,HATTANE,BENI MELLAL,48H,40
368,BOULANOUARE,BENI MELLAL,24H,35
369,LAGFAF,BENI MELLAL,24H,40
370,BIR MEZOUI,BENI MELLAL,24H,35
371,TACHRAFT,BENI MELLAL,24H,35
372,TLAT OULAD AZZOUZ,BENI MELLAL,24H,35
373,KAHF NSOUR,BENI MELLAL,,45
374,LAMFASSIS,BENI MELLAL,48H,40
375,OUARZAZATE,BENI MELLAL,,40
376,ZAGOURA,BENI MELLAL,,45
377,KELAAT MEGOUNA,BENI MELLAL,LUNDI,45
378,BOUMALNE DADES ,BENI MELLAL,LUNDI,45
379,AGDEZ,BENI MELLAL,,45
380,TAZNAKHT,BENI MELLAL,,45
381,TINZOULINE,BENI MELLAL,,45
382,TAZARINE,BENI MELLAL,,45
383,TIMDLINE,BENI MELLAL,,
384,MOULAY BOUAZZA,BENI MELLAL,,40
385,FÈS,FÈS,Chaque Jour,20
386,SEFROU,FÈS,24H-48H,30
387,AIN EL BAIDA,FÈS,Mercredi / Samedi ?,30
388,SANHAJA,FÈS,Mercredi / Samedi,30
389,EL MENZEL,FÈS,Mercredi / Samedi,30
390,AIN CHEGAG,FÈS,Mercredi / Samedi ?,30
391,BHALIL,FÈS,Chaque Jour,30
392,RAS LMA,FÈS,Mercredi / Samedi, 
393,RBAT EL KHEIR,FÈS,Mercredi / Samedi,30
394,IMOUZZAR KANDAR,FÈS,Mercredi / Samedi,30
395,OULAD TAIB,FÈS,Mercredi / Samedi,30
396,ZLILIQ,FÈS,,30
397,SIDI HRAZEM,FÈS,,30
398,SKHINATE,FÈS,,30
399,IMOUZZAR MARMOUCHA,FÈS,,35
400,GHAFSAY,FÈS,,30
401,TISSA,FÈS,,30
402,AIN AICHA,FÈS,,30
403,QARYET PA MHAMED,FÈS,,30
404,MHAYA,FÈS,,30
405,TAOUENAT,FÈS,,30
406,AIN MEDIOUNA,FÈS,,30
407,OUTAT LHAJ,FÈS,,
408,BOULMANE,FÈS,,
409,LAAYOUNE,GUELMIM,Chaque Jour,25
410,LAAYOUNE PORT,GUELMIM,24H-48H,30
411,GUELMIM,GUELMIM,24H-48H,20
412,DAKHLA,GUELMIM,24H-48H,30
413,ESSEMARA,GUELMIM,24H-48H,30
414,BOUJDOUR,GUELMIM,24H-48H,30
415,TAN TAN,GUELMIM,24H-48H,30
416,TERFAYA,GUELMIM,24H-48H,30
417,TERFAYA,GUELMIM,24H-48H,30
418,TAN TAN LOUATTIA,GUELMIM,24H-48H,30
419,BOUIZAKARANE,GUELMIM,,30
420,ASSA ZAG,GUELMIM,,30